随机值,K值为2,K值为3,K值为4,K值为5
0.59,1.0752856894168088,1.1,0.5186951434609891,0.1
0.6,1.0876890558788617,1.1,0.17586225554884116,0.1
0.61,0.990840426516974,1.0034400521675644,0.1,1.1
0.62,1.0897265326122354,1.1,0.1,0.2037233299552165
0.63,1.0878300889148567,1.1,0.4855981217929701,0.1
0.64,0.7975660337063553,0.8067949145078211,0.1,1.1
0.65,1.0900653208171363,1.1,0.5889562456901586,0.1
0.66,0.9569303479965111,0.9739193200825744,0.1,1.1
0.67,1.018987775021803,0.794008549294611,1.1,0.1
0.68,1.090029525088177,0.6017509881499405,1.1,0.1
0.69,0.9063987902525923,0.1,0.8639069561841635,1.1
0.7,0.9063987902525923,0.1,0.8639069561841635,1.1
0.71,0.9313865711360917,0.8046332656463893,0.1,1.1
0.72,0.7959462697275714,0.1,1.1,0.861582400704157
0.73,1.1,1.0961183676038013,0.5081254077843924,0.1
0.74,1.1,1.0960635158532295,0.4997615664443914,0.1
0.75,1.1,1.0962250786360352,0.524396796272953,0.1
0.76,1.1,1.0961784207984142,0.5172823697129569,0.1
0.77,0.7257587646218621,0.7251466960577988,0.1,1.1
0.78,1.1,1.0976936161264457,0.7483206354137166,0.1
0.79,1.1,1.097642451280151,0.7183349648921423,0.1
0.8,1.1,1.097642451280151,0.7183349648921423,0.1
0.81,1.1,0.807171158934911,0.9524011034038516,0.1
0.82,1.1,0.1,0.810277588663681,0.44314087857117845
0.83,1.1,0.8655550193470506,0.3880338710327964,0.1
0.84,1.1,0.3053268601602573,0.4463939017116315,0.1
0.85,1.1,0.3602598415920907,0.4915754107635779,0.1
0.86,1.1,0.8715045103664558,0.4314782948863134,0.1
0.87,1.1,0.1,0.43532543046527117,0.14778864319844873
0.88,1.1,0.8414364328133603,0.1,0.4001618485397065
0.89,1.1,0.8360163071368902,0.1,0.37267842324455847
0.9,1.1,0.942107060955167,0.48934575832618876,0.1
