随机值,K值为1,K值为2,K值为3,K值为4,K值为5
0.59,1.1,0.8100915430133785,0.5175654243551325,0.2866092789870288,0.1
0.6,1.1,0.7177164008446307,0.3319810599373959,0.20535540270745806,0.1
0.61,1.1,0.8100485557904858,0.5174790617661142,0.41263348326944116,0.1
0.62,1.1,0.6763546840082563,0.24888416016448361,0.19375217672282807,0.1
0.63,1.1,0.746556722273325,0.3899221098377037,0.19440305736352725,0.1
0.64,1.1,0.8239432439810912,0.5453938970356023,0.45773991744336295,0.1
0.65,1.1,0.7231754506141699,0.3429484507096231,0.1377448264906886,0.1
0.66,1.1,0.8244896577770544,0.5464916583451077,0.3964597115781242,0.1
0.67,1.1,0.7633256589973472,0.5000313961454366,0.1369338003695894,0.1
0.68,1.1,0.719711575648783,0.5127267342895762,0.1288995121095916,0.1
0.69,1.1,0.8244935834952597,0.6745398950258705,0.4056492693072816,0.1
0.7,1.1,0.8244935834952597,0.6745398950258705,0.4056492693072816,0.1
0.71,1.1,0.8244789351450414,0.5653468302250069,0.3973224586684335,0.1
0.72,1.1,0.8241886706580991,0.7686126887961097,0.39658218011249835,0.1
0.73,1.1,0.8242457522742246,0.5487420904982836,0.3111974004365461,0.1
0.74,1.1,0.8244935834952597,0.5492375277288749,0.31190632845131894,0.1
0.75,1.1,0.8237416029234366,0.5477342499319674,0.30975526737150877,0.1
0.76,1.1,0.8239657261347068,0.5481822926871907,0.3103963779731783,0.1
0.77,1.1,0.8241886706580991,0.5486279791377665,0.5290605133116318,0.1
0.78,1.1,0.8115263730436514,0.523314890509045,0.2748132667934372,0.1
0.79,1.1,0.8115263730436514,0.523314890509045,0.277279987760247,0.1
0.8,1.1,0.8115263730436514,0.523314890509045,0.277279987760247,0.1
0.81,1.1,0.8155766922604765,0.5591454511757045,0.2888314030864926,0.1
0.82,1.1,0.7351706986476106,0.6063023358319659,0.3098362065736232,0.1
0.83,1.1,0.751030459134194,0.4497443947525379,0.24558076985715685,0.1
0.84,1.1,0.7501087203613052,0.5299100274126546,0.28668885062970806,0.1
0.85,1.1,0.7458162307949426,0.5229161255876476,0.2767110951781194,0.1
0.86,1.1,0.751030459134194,0.4497443947525379,0.24028499938700668,0.1
0.87,1.1,0.7626085366752513,0.5587979259895007,0.31019425839066017,0.1
0.88,1.1,0.7621251777546909,0.47065805070143296,0.31226595951912994,0.1
0.89,1.1,0.7626085366752513,0.4715583783531201,0.30971300463720197,0.1
0.9,1.1,0.6937491418324621,0.3432975464571669,0.15285150332749164,0.1
