随机值,K值为2,K值为3,K值为4,K值为5
0.59,0.36769971366254683,0.6850688389332414,1.1,0.1
0.6,0.37627436972890216,0.6508860131338577,0.1,1.1
0.61,0.3502630010653347,0.5818248368641333,1.1,0.1
0.62,0.1,1.0897949534756595,1.1,0.10124168419324389
0.63,0.19821432532436395,0.9925988170032035,0.1,1.1
0.64,0.7244808386482483,1.1,0.1,0.6461750549174202
0.65,0.7130686254840207,1.081725278890974,0.1,1.1
0.66,0.5423241579582986,1.1,0.1,0.40002317547993127
0.67,0.6157902795692701,1.1,0.23173624545399985,0.1
0.68,0.5042310221558111,1.1,0.8384832174331266,0.1
0.69,0.5423241579582986,1.1,0.1,0.8955544013799395
0.7,0.5423241579582986,1.1,0.1,0.8955544013799395
0.71,0.5819845358334185,1.1,0.1711172600375152,0.1
0.72,0.5787673677795767,1.1,0.9963109231586446,0.1
0.73,0.6761109179267122,1.1,1.01552068276103,0.1
0.74,0.6758729328123663,1.1,0.1,1.01142497239557
0.75,0.5779295438388204,0.9903396166749774,1.1,0.1
0.76,0.6436327459888844,1.0309010862843124,1.1,0.1
0.77,0.6486666618177844,1.0316632753161854,1.1,0.1
0.78,0.5273127965765182,1.1,0.6586412913219404,0.1
0.79,0.32343928955654677,1.1,0.6326970211274348,0.1
0.8,0.6791015878003442,1.0360844108990805,1.1,0.1
0.81,0.6073932012474931,1.1,0.720529313645892,0.1
0.82,0.6529188661387126,1.0548290666933973,1.1,0.1
0.83,0.1,1.1,0.5022250182085429,0.21565816479095312
0.84,0.6452785351599689,1.1,0.8263329760468989,0.1
0.85,0.6938024092337328,1.0304559925264238,0.1,1.1
0.86,0.7204350204235415,1.1,0.871564734921736,0.1
0.87,0.29589562046086393,1.1,0.30397209413099224,0.1
0.88,0.5535505565150318,1.0574245140928238,1.1,0.1
0.89,0.442003816976532,1.1,0.7546571258824386,0.1
0.9,0.6134962743360353,1.1,0.93448265412634,0.1
