随机值,K值为1,K值为2,K值为3,K值为4,K值为5
0.59,1.1,0.9154123285892045,0.6246320332912401,0.19501457578146256,0.1
0.6,1.1,0.9186001057645019,0.6328415043927489,0.5564321913369258,0.1
0.61,1.1,0.9154123285892045,0.6479450050771591,0.19501457578146256,0.1
0.62,1.1,0.8960511529594252,0.6005295082342412,0.3040637238592703,0.1
0.63,1.1,0.8960511529594252,0.6005295082342412,0.4079023330501387,0.1
0.64,1.1,0.82289147772967,0.42136154776443135,0.35116333266303734,0.1
0.65,1.1,0.8603974901202149,0.5132137289594112,0.45251668366620723,0.1
0.66,1.1,0.8481298361516514,0.4414585812175851,0.3123698920245359,0.1
0.67,1.1,0.8120176979110686,0.34703954249992724,0.1994426325704124,0.1
0.68,1.1,0.8785855740179891,0.5276107279139364,0.23350729586190894,0.1
0.69,1.1,0.8785855740179891,0.521088357599671,0.4076088664930605,0.1
0.7,1.1,0.8785855740179891,0.521088357599671,0.4076088664930605,0.1
0.71,1.1,0.8187274233612966,0.36458283564001515,0.22042479933483589,0.1
0.72,1.1,0.8785855740179891,0.5276107279139364,0.20240940312685213,0.1
0.73,1.1,0.8651728922220264,0.49290907276275164,0.14803581384732709,0.1
0.74,1.1,0.8649072610434031,0.4922223450673867,0.4439500583814242,0.1
0.75,1.1,0.8785855740179891,0.5538838566178768,0.2017179119460603,0.1
0.76,1.1,0.870714347057663,0.5344695655562463,0.1791404468488214,0.1
0.77,1.1,0.8700058612330368,0.5327220933919111,0.17629501831237762,0.1
0.78,1.1,0.8633355300173977,0.516269797917441,0.254288136481644,0.1
0.79,1.1,0.8787374157720753,0.5539642216474723,0.29147954624281813,0.1
0.8,1.1,0.8652407130858504,0.5209999404782891,0.1571571780803034,0.1
0.81,1.1,0.855686922442977,0.49743688819782894,0.22695611589756806,0.1
0.82,1.1,0.8697786051447116,0.5321615688553286,0.18247427072649952,0.1
0.83,1.1,0.8875989702900352,0.5761152951929973,0.32386074663806647,0.1
0.84,1.1,0.855686922442977,0.49707369726838957,0.20725023385906916,0.1
0.85,1.1,0.8652407130858504,0.4927858021038658,0.5008993000646542,0.1
0.86,1.1,0.8428901521692501,0.46549327813899144,0.16048927540582197,0.1
0.87,1.1,0.8775973661732809,0.5111629637791657,0.28731366604152087,0.1
0.88,1.1,0.8824114307920751,0.5553589270022177,0.21905712557741022,0.1
0.89,1.1,0.8712406678885641,0.5535518866301647,0.28253685873760903,0.1
0.9,1.1,0.8712406678885641,0.5018843167978893,0.18036160847620317,0.1
