随机值,K值为2,K值为3,K值为4,K值为5
0.59,0.36592428,0.1250610860000001,0.21645575400000006,0.07044224799999999
0.6,0.36592428,0.15191036400000013,0.18960647600000002,0.15589637999999995
0.61,0.36592428,0.14217621700000005,0.1993406230000001,0.14572759299999993
0.62,0.36592428,0.15191036400000013,0.144127605,0.06941454200000008
0.63,0.36592428,0.13656738200000018,0.15809909799999988,0.04432159999999996
0.64,0.36592428,0.1250610860000001,0.21633671199999993,0.060691942000000054
0.65,0.36592428,0.13736128000000014,0.0691972649999999,0.1944847030000001
0.66,0.36592428,0.13736128000000014,0.15846922399999985,0.1913995220000002
0.67,0.36592428,0.14498269500000016,0.15084780899999983,0.1909255310000002
0.68,0.36592428,0.1373053150000001,0.20491132700000003,0.14497793999999997
0.69,0.36592428,0.13736128000000014,0.203911336,0.05498146800000003
0.7,0.36592428,0.13736128000000014,0.20296586299999997,0.04026346199999997
0.71,0.36592428,0.13636615100000005,0.20503164699999998,0.12018802300000009
0.72,0.36592428,0.1250610860000001,0.17001968300000003,0.046405483000000025
0.73,0.36592428,0.14217621700000005,0.19897620800000015,0.146077601
0.74,0.36592428,0.14408979900000007,0.04942360400000001,0.20449585100000012
0.75,0.3901052060000001,0.10088016,0.16982879499999992,0.19119723
0.76,0.36592428,0.13656738200000018,0.20375976099999993,0.040276103999999924
0.77,0.36592428,0.131393176,0.20960188700000004,0.12059075800000008
0.78,0.36592428,0.13656738200000018,0.1623326169999999,0.06927996300000006
0.79,0.3901052060000001,0.11439874499999991,0.15995744700000003,0.164262452
0.8,0.36592428,0.1523115970000002,0.09200672399999998,0.1520284759999999
0.81,0.36592428,0.12869553300000014,0.17571148599999997,0.14991583399999997
0.82,0.36592428,0.13857967100000002,0.2030546150000001,0.054712510999999964
0.83,0.36592428,0.13857967100000002,0.17550292,0.18549776500000004
0.84,0.36592428,0.13857967100000002,0.16424972400000004,0.20117732600000005
0.85,0.36592428,0.13857967100000002,0.1467522320000001,0.16783751699999994
0.86,0.36592428,0.1523115970000002,0.19907168499999983,0.033088479000000115
0.87,0.3901052060000001,0.12813067100000008,0.0537677809999999,0.15258863299999992
0.88,0.3901052060000001,0.12091607399999993,0.19342562500000016,0.08164431499999991
0.89,0.38350921700000007,0.10747614900000002,0.17070683599999992,0.18730447900000002
0.9,0.36592428,0.1250610860000001,0.1711703120000001,0.1509855459999998
