随机值,K值为1,K值为2,K值为3,K值为4,K值为5
0.59,2.294535868276725,1.928611587556646,1.803550501711771,1.5870947475269122,1.5166525002637878
0.6,2.294535868276725,1.928611587556646,1.776701223989682,1.5870947475269122,1.4311983681540632
0.61,2.294535868276725,1.928611587556646,1.7864353714277135,1.5870947475269122,1.441367154759245
0.62,2.294535868276725,1.928611587556646,1.776701223989682,1.6325736192988638,1.5631590772453743
0.63,2.294535868276725,1.928611587556646,1.792044206017157,1.633945108451928,1.5896235076171275
0.64,2.294535868276725,1.928611587556646,1.803550501711771,1.5872137904319379,1.5265218477329487
0.65,2.294535868276725,1.928611587556646,1.7912503081386981,1.7220530428615948,1.5275683396064554
0.66,2.294535868276725,1.928611587556646,1.7912503081386981,1.6327810844008321,1.4413815616800352
0.67,2.294535868276725,1.928611587556646,1.7836288927572708,1.6327810844008321,1.4418555534450856
0.68,2.294535868276725,1.928611587556646,1.7913062734933738,1.5863949463470954,1.4414170055235025
0.69,2.294535868276725,1.928611587556646,1.7912503081386981,1.587338971760653,1.5323575043161755
0.7,2.294535868276725,1.928611587556646,1.7912503081386981,1.5882844446422653,1.5480209828561728
0.71,2.294535868276725,1.928611587556646,1.792245437137066,1.5872137904319379,1.4670257673156135
0.72,2.294535868276725,1.928611587556646,1.803550501711771,1.6335308194545253,1.5871253361122055
0.73,2.294535868276725,1.928611587556646,1.7864353714277135,1.587459163140721,1.4413815616800352
0.74,2.294535868276725,1.928611587556646,1.7845217891719731,1.7350981853303715,1.5306023338058843
0.75,2.294535868276725,1.9044306623463925,1.803550501711771,1.63372170684884,1.4425244769656858
0.76,2.294535868276725,1.928611587556646,1.792044206017157,1.5882844446422653,1.5480083411743524
0.77,2.294535868276725,1.928611587556646,1.7972184115455787,1.5876165254189978,1.4670257673156135
0.78,2.294535868276725,1.928611587556646,1.792044206017157,1.6297115886628497,1.5604316263281766
0.79,2.294535868276725,1.9044306623463925,1.7900319167603274,1.6300744695860747,1.4658120177623615
0.8,2.294535868276725,1.928611587556646,1.776299990812348,1.6842932666425814,1.5322647909603375
0.81,2.294535868276725,1.928611587556646,1.7999160546440078,1.624204569086346,1.474288734605401
0.82,2.294535868276725,1.928611587556646,1.7900319167603274,1.5869773024072762,1.5322647909603375
0.83,2.294535868276725,1.928611587556646,1.7900319167603274,1.6145289967907823,1.4290312315939226
0.84,2.294535868276725,1.928611587556646,1.7900319167603274,1.625782192681188,1.4246048669389666
0.85,2.294535868276725,1.928611587556646,1.7900319167603274,1.6432796848417575,1.4754421681321672
0.86,2.294535868276725,1.928611587556646,1.776299990812348,1.5772283057804843,1.5441398274999956
0.87,2.294535868276725,1.9044306623463925,1.776299990812348,1.7225322097856912,1.5699435769348336
0.88,2.294535868276725,1.9044306623463925,1.7835145876975345,1.590088963172746,1.5084446481516431
0.89,2.294535868276725,1.911026650526664,1.803550501711771,1.6328436656153658,1.4455391867455545
0.9,2.294535868276725,1.928611587556646,1.803550501711771,1.6323801904734916,1.4813946440650243
