随机值,K值为1,K值为2,K值为3,K值为4,K值为5
0.59,1.1,0.6295897880670461,0.46881878929695797,0.19055631075017404,0.1
0.6,1.1,0.6761515282262152,0.5001944268608741,0.28057408603240325,0.1
0.61,1.1,0.6710997433165368,0.5044548408094285,0.2708074742773648,0.1
0.62,1.1,0.5996774788277361,0.39197282389563826,0.19490941311535281,0.1
0.63,1.1,0.5808939369427428,0.38715725455572925,0.16287533389257064,0.1
0.64,1.1,0.623544791539092,0.4607078084329762,0.1790245235366928,0.1
0.65,1.1,0.6228946902690775,0.4437980858037056,0.3535761892125374,0.1
0.66,1.1,0.6710925005868752,0.5100884723190977,0.32434338155939657,0.1
0.67,1.1,0.6708540779436195,0.5008223644754833,0.32391220676884064,0.1
0.68,1.1,0.6710746810331337,0.510129564102874,0.26993873475042207,0.1
0.69,1.1,0.6198967888833959,0.4396748270854878,0.1721372720572268,0.1
0.7,1.1,0.6098231966265483,0.42581979259529423,0.15393524336758532,0.1
0.71,1.1,0.6578008297931339,0.49300990961559277,0.24524055096700273,0.1
0.72,1.1,0.5827271245659091,0.4059399828104341,0.16559908412559515,0.1
0.73,1.1,0.6710925005868752,0.5044447839896387,0.2712206103546291,0.1
0.74,1.1,0.6209998465651857,0.43238422414900834,0.3676880145963066,0.1
0.75,1.1,0.6421361614166493,0.5237338007608867,0.3244068941092362,0.1
0.76,1.1,0.6098314974793957,0.4268946638587915,0.15395126441198187,0.1
0.77,1.1,0.6578008297931339,0.4990194737212037,0.24572723384798908,0.1
0.78,1.1,0.6015363499288975,0.41550366657600646,0.19437346773974923,0.1
0.79,1.1,0.6292699661051144,0.4912279090314584,0.2982113245564249,0.1
0.8,1.1,0.6199551825577136,0.4201422792537619,0.2994414855648523,0.1
0.81,1.1,0.6538853288500309,0.49698684323228215,0.2827691045401069,0.1
0.82,1.1,0.6199551825577136,0.4381567709671871,0.17177566177025494,0.1
0.83,1.1,0.6772128018965343,0.5170984995162984,0.31432324829280295,0.1
0.84,1.1,0.6793640190091352,0.5200644069241533,0.33125664652569387,0.1
0.85,1.1,0.653257118202716,0.4840705269738981,0.3049063702968292,0.1
0.86,1.1,0.6123584613901235,0.4093835139250154,0.1440946875944407,0.1
0.87,1.1,0.5616210925158738,0.38478969009621966,0.3105855042832631,0.1
0.88,1.1,0.6037405378983879,0.44992114528387694,0.20386112059615663,0.1
0.89,1.1,0.6482794861479557,0.5216875318974302,0.3206186233606725,0.1
0.9,1.1,0.6499868052440544,0.4961868473661346,0.2856818244403752,0.1
