随机值,K值为2,K值为3,K值为4,K值为5
0.59,1.1,0.2848465628529322,0.5941535869768219,0.1
0.6,1.1,0.1,0.27613860212716224,0.11862503184138651
0.61,1.1,0.1,0.35548559050542516,0.11587220891382594
0.62,1.1,0.37822297694654494,0.35197507341225986,0.1
0.63,1.1,0.38683150899115704,0.45378280429752615,0.1
0.64,1.1,0.3108857286281379,0.6099222809085186,0.1
0.65,1.1,0.3297196128232551,0.1,0.522231315877997
0.66,1.1,0.1,0.19235066043060217,0.3364260269597446
0.67,1.1,0.1,0.12654599404634342,0.3079410990013495
0.68,1.1,0.1,0.3957148021381339,0.13356075468192186
0.69,1.1,0.3649355727830753,0.5789622472443582,0.1
0.7,1.1,0.3981562798874999,0.5996069284576936,0.1
0.71,1.1,0.1658353317394265,0.4452629458745273,0.1
0.72,1.1,0.34616893822368794,0.4868761436279444,0.1
0.73,1.1,0.1,0.35385690601486963,0.11743650402014856
0.74,1.1,0.39910266289605045,0.1,0.589958659677555
0.75,1.1,0.1,0.33839095525634355,0.4122726446035382
0.76,1.1,0.39569113262897637,0.6020254036368377,0.1
0.77,1.1,0.14403156124746758,0.46281682288814974,0.1
0.78,1.1,0.3268286130693012,0.41368426316422524,0.1
0.79,1.1,0.1,0.26524350512046974,0.28085795602737096
0.8,1.1,0.32015702053066,0.1,0.3191234212092632
0.81,1.1,0.1,0.2981882617286676,0.18945079914787832
0.82,1.1,0.3694858239760208,0.576659685707452,0.1
0.83,1.1,0.1,0.2624109283365501,0.3063743416057868
0.84,1.1,0.1,0.21291252127293692,0.375342596753636
0.85,1.1,0.1,0.13594789881294295,0.22869381917035
0.86,1.1,0.4582040082280695,0.5986939671192396,0.1
0.87,1.1,0.3210960912244605,0.1,0.39381461786478256
0.88,1.1,0.2273151966613492,0.46238405989691633,0.1
0.89,1.1,0.1,0.32906924687733385,0.38919843038515944
0.9,1.1,0.1,0.2914332581672899,0.20763147149829675
