随机值,K值为1,K值为2,K值为3,K值为4,K值为5
0.59,1.1,0.7052218823731722,0.4444527335669737,0.1,0.11455751937896637
0.6,1.1,0.7052218823731722,0.4444527335669737,0.1,0.11491083580048779
0.61,1.1,0.7052218823731722,0.4444527335669737,0.1,0.11491083580048779
0.62,1.1,0.6994192139408091,0.4348171350902399,0.3020053019821811,0.1
0.63,1.1,0.6994192139408091,0.562124866170156,0.3023414848893159,0.1
0.64,1.1,0.6308418086333671,0.470043362660416,0.1657863799233107,0.1
0.65,1.1,0.619223704879746,0.4545157048017201,0.21712093192126003,0.1
0.66,1.1,0.6852133608488311,0.46595096711310224,0.26013936722492437,0.1
0.67,1.1,0.7371571864297505,0.5156053654071113,0.34423105887092487,0.1
0.68,1.1,0.6846682481251907,0.4310666815102533,0.23490132202677436,0.1
0.69,1.1,0.6757970773781808,0.4167787739281835,0.21642347136722218,0.1
0.7,1.1,0.6676881348449027,0.3807841543847029,0.23446185571761413,0.1
0.71,1.1,0.749288675993643,0.5486547079084426,0.4417842315813413,0.1
0.72,1.1,0.749288675993643,0.5486547079084426,0.4417842315813413,0.1
0.73,1.1,0.749288675993643,0.44864255914849493,0.23530348541927637,0.1
0.74,1.1,0.5955442755364101,0.33085714590778215,0.1692702230881794,0.1
0.75,1.1,0.5943452277215068,0.3004768045752879,0.17176685249240087,0.1
0.76,1.1,0.609922916259898,0.32510768714646243,0.19740718843203636,0.1
0.77,1.1,0.7353371952273164,0.5267219024593645,0.22278602024726424,0.1
0.78,1.1,0.612170458890515,0.35620706166349037,0.1845032298814708,0.1
0.79,1.1,0.735517476408803,0.5442740663518799,0.22321969533179875,0.1
0.8,1.1,0.7502832635693525,0.5667874389410394,0.2587395091152792,0.1
0.81,1.1,0.70842046062326,0.5029592887649348,0.1580365158422532,0.1
0.82,1.1,0.730476737362263,0.4189264453014262,0.24257093871638719,0.1
0.83,1.1,0.6399643173425028,0.36247945095979917,0.18410947196725844,0.1
0.84,1.1,0.6745405448252927,0.527168046368971,0.31870264590316394,0.1
0.85,1.1,0.6397260814991433,0.4802943976600834,0.16394114871347476,0.1
0.86,1.1,0.7279330239381867,0.4142380910919956,0.2802433596754904,0.1
0.87,1.1,0.7415299075219246,0.6173614761759352,0.3102067803406375,0.1
0.88,1.1,0.6667800777557719,0.3015262305735439,0.14551547147333013,0.1
0.89,1.1,0.6739992996309317,0.3148320805749091,0.1614211010024281,0.1
0.9,1.1,0.6751949948516867,0.5304526057399206,0.16443815272742518,0.1
