随机值,K值为2,K值为3,K值为4,K值为5
0.59,1.1,0.7726183681419062,0.9770559425805828,0.1
0.6,1.1,0.7729007025950866,0.977161969736188,0.1
0.61,1.1,0.7729007025950866,0.977161969736188,0.1
0.62,1.1,0.5921789635804496,0.1,0.35840736243514426
0.63,1.1,0.1,0.5652310780092299,0.34705844152662757
0.64,1.1,0.33554463488579844,0.6911930284878178,0.1
0.65,1.1,0.23085760027888286,0.43073578209098384,0.1
0.66,1.1,0.3321761629864576,0.27935488692956373,0.1
0.67,1.1,0.3620666722884398,0.1,0.4805155921635553
0.68,1.1,0.5232787599137746,0.318464299647879,0.1
0.69,1.1,0.5633019894652419,0.3727012178740624,0.1
0.7,1.1,0.6118083596186101,0.13982018658275075,0.1
0.71,1.1,0.4845274188081652,0.1,1.0633896760531354
0.72,1.1,0.4845274188081652,0.1,1.0633896760531354
0.73,1.1,0.8675794553735822,0.4622690280065902,0.1
0.74,1.1,0.549042778132154,0.3121318367446869,0.1
0.75,1.1,0.6118869655631677,0.23123919103016097,0.1
0.76,1.1,0.5772661284216098,0.1771470149465454,0.1
0.77,1.1,0.4548470874916394,0.8489344722366217,0.1
0.78,1.1,0.5251152542553109,0.3162036035661736,0.1
0.79,1.1,0.3819485919811383,0.9199965038774096,0.1
0.8,1.1,0.22962967292510147,0.8818126946828174,0.1
0.81,1.1,0.5419959214072095,0.9601176964829118,0.1
0.82,1.1,0.8445588149298238,0.24886196045456624,0.1
0.83,1.1,0.6143972112516133,0.3507420454993294,0.1
0.84,1.1,0.1,0.31968992264298535,0.3565030316005694
0.85,1.1,0.3409352503877295,0.7368691147303914,0.1
0.86,1.1,0.8548137402468406,0.1,0.2942629991492237
0.87,1.1,0.1,0.8809857753682381,0.46721186089305866
0.88,1.1,0.9246961701707095,0.38499875976966136,0.1
0.89,1.1,0.9166834309183757,0.3523176796778007,0.1
0.9,1.1,0.3228402413953161,0.9368591568817383,0.1
