user_id,user_verified_type,weibo_type,fans_type,repost_type,like_type,comment_type,weibo_granger,fan_granger,repost_granger,like_granger,comment_granger
2202083193,1,2,1,2,3,2,0,2,2,0,2
2146327684,1,0,2,2,3,2,1,1,2,0,2
1498396803,1,2,2,2,3,2,0,1,2,0,2
3549916270,1,2,2,2,3,2,0,1,2,0,2
5342220662,1,2,2,2,3,2,0,1,2,0,2
5461853682,1,2,2,2,3,2,0,1,2,0,2
2647281473,1,1,0,1,3,2,2,2,1,0,2
2113535642,1,1,0,3,3,3,2,2,1,0,2
2813607252,1,1,0,3,3,3,2,2,1,0,2
2655176573,1,1,1,3,3,3,2,2,1,0,2
3061210763,1,1,0,3,3,3,2,2,1,0,2
7532796319,1,1,0,3,3,3,2,2,1,0,2
2606169085,1,0,0,1,3,3,1,2,1,0,2
6914251407,1,0,0,3,3,3,1,2,1,0,2
5868009402,1,2,0,3,3,3,0,2,1,0,2
1718326977,1,2,1,3,3,3,0,2,1,0,2
1904469113,1,1,2,1,3,2,2,1,1,0,2
5617030362,1,1,2,3,3,2,2,1,1,0,2
7336594039,1,1,2,3,3,2,2,1,1,0,2
2549511007,1,1,2,3,3,3,2,1,1,0,2
2730549204,1,1,2,3,3,3,2,1,1,0,2
3074181393,1,1,2,3,3,3,2,1,1,0,2
5982499860,1,0,2,1,3,2,1,1,1,0,2
1910577521,1,0,2,1,3,2,1,1,1,0,2
6969972165,1,0,2,3,3,3,1,1,1,0,2
1266922873,1,0,2,1,3,3,1,1,1,0,2
2015108055,1,2,2,3,3,2,0,1,1,0,2
1982753487,1,2,2,3,3,2,0,1,1,0,2
3937348351,1,2,2,3,3,3,0,1,1,0,2
1064646454,1,1,0,0,1,0,2,2,2,3,1
1252614317,1,1,0,0,1,0,2,2,2,3,1
1709467465,1,1,0,0,1,0,2,2,2,3,1
1729399083,1,1,0,0,1,0,2,2,2,3,1
1798361341,1,1,0,0,1,0,2,2,2,3,1
1913308843,1,1,0,0,1,0,2,2,2,3,1
1913935211,1,1,0,0,1,0,2,2,2,3,1
1924853635,1,1,0,0,1,0,2,2,2,3,1
1980734371,1,1,0,0,1,0,2,2,2,3,1
1990198375,1,1,0,0,1,0,2,2,2,3,1
2029505005,1,1,0,0,1,0,2,2,2,3,1
2088662305,1,1,0,0,1,0,2,2,2,3,1
2099214172,1,1,0,0,1,0,2,2,2,3,1
2113480734,1,1,0,0,1,0,2,2,2,3,1
2144066964,1,1,0,0,1,0,2,2,2,3,1
2182881135,1,1,0,0,1,0,2,2,2,3,1
2249520950,1,1,0,0,1,0,2,2,2,3,1
2318629240,1,1,0,0,1,0,2,2,2,3,1
2379979684,1,1,0,0,1,0,2,2,2,3,1
2388122400,1,1,0,0,1,0,2,2,2,3,1
2401556345,1,1,0,0,1,0,2,2,2,3,1
2452488395,1,1,0,0,1,0,2,2,2,3,1
2456931455,1,1,0,0,1,0,2,2,2,3,1
2472148755,1,1,0,0,1,0,2,2,2,3,1
2490707052,1,1,0,0,1,0,2,2,2,3,1
2506214623,1,1,0,0,1,0,2,2,2,3,1
2519828022,1,1,0,0,1,0,2,2,2,3,1
2521498134,1,1,0,0,1,0,2,2,2,3,1
2556793530,1,1,0,0,1,0,2,2,2,3,1
2569691550,1,1,0,0,1,0,2,2,2,3,1
2597221413,1,1,0,0,1,0,2,2,2,3,1
2607762887,1,1,0,0,1,0,2,2,2,3,1
2608234633,1,1,0,0,1,0,2,2,2,3,1
2608424991,1,1,0,0,1,0,2,2,2,3,1
2611542215,1,1,0,0,1,0,2,2,2,3,1
2611745583,1,1,0,0,1,0,2,2,2,3,1
2618059445,1,1,0,0,1,0,2,2,2,3,1
2620640457,1,1,0,0,1,0,2,2,2,3,1
2628387645,1,1,0,0,1,0,2,2,2,3,1
2642563891,1,1,0,0,1,0,2,2,2,3,1
2645377570,1,1,0,0,1,0,2,2,2,3,1
2645433760,1,1,0,0,1,0,2,2,2,3,1
2657633095,1,1,0,0,1,0,2,2,2,3,1
2695983121,1,1,0,0,1,0,2,2,2,3,1
2730258260,1,1,0,0,1,0,2,2,2,3,1
2751632824,1,1,0,0,1,0,2,2,2,3,1
