user_id,user_verified_type,weibo_type,fans_type,repost_type,like_type,comment_type
10000,1,1,1,2,1,3
2684521402,0,0,2,1,2,2
1904671130,0,0,2,3,2,2
5395667635,0,1,1,2,3,2
6832629459,0,0,1,2,3,3
2202083193,1,2,1,2,3,2
1796087453,0,1,2,2,3,2
1893801487,0,1,2,2,3,2
5347795977,0,1,2,2,3,3
1843633441,0,1,2,2,3,3
2146327684,1,0,2,2,3,2
5735084779,0,0,2,2,3,2
6373459851,0,0,2,2,3,3
1255795640,0,0,2,2,3,3
1323527941,0,2,2,2,3,2
1498396803,1,2,2,2,3,2
1686546714,0,2,2,2,3,2
1728148193,0,2,2,2,3,2
1784473157,0,2,2,2,3,2
3549916270,1,2,2,2,3,2
5342220662,1,2,2,2,3,2
5461853682,1,2,2,2,3,2
1700720163,0,2,2,2,3,3
1974576991,0,2,2,2,3,3
3203137375,0,2,2,2,3,3
3604378011,0,2,2,2,3,3
5994003317,0,2,2,2,3,3
2647281473,1,1,0,1,3,2
2113535642,1,1,0,3,3,3
2297839493,0,1,0,3,3,3
2813607252,1,1,0,3,3,3
2655176573,1,1,1,3,3,3
3061210763,1,1,0,3,3,3
7532796319,1,1,0,3,3,3
5108550554,0,0,1,1,3,2
2606169085,1,0,0,1,3,3
2198692254,0,0,0,1,3,3
6914251407,1,0,0,3,3,3
7511984350,0,0,0,3,3,3
7488069422,0,2,0,3,3,2
5868009402,1,2,0,3,3,3
1708877153,0,2,1,3,3,3
1718326977,1,2,1,3,3,3
1904469113,1,1,2,1,3,2
1890926607,0,1,2,3,3,2
5617030362,1,1,2,3,3,2
6508016609,0,1,2,1,3,2
7336594039,1,1,2,3,3,2
2591595652,0,1,2,3,3,2
2549511007,1,1,2,3,3,3
1191965271,0,1,2,3,3,3
2030112487,0,1,2,3,3,3
2596119483,0,1,2,3,3,3
2730549204,1,1,2,3,3,3
1642591402,0,1,2,3,3,3
5467852665,0,1,2,3,3,3
1301904252,0,1,2,3,3,3
1314608344,0,1,2,3,3,3
3074181393,1,1,2,3,3,3
5982499860,1,0,2,1,3,2
1910577521,1,0,2,1,3,2
6300853659,0,0,2,1,3,3
1873252242,0,0,2,3,3,3
2560912387,0,0,2,3,3,3
5167503212,0,0,2,3,3,3
6969972165,1,0,2,3,3,3
1735937570,0,0,2,3,3,3
1266922873,1,0,2,1,3,3
1638782947,0,2,2,1,3,2
5145725878,0,2,2,1,3,2
6365990425,0,2,2,1,3,2
1496814565,0,2,2,3,3,2
1642512402,0,2,2,3,3,2
1699540307,0,2,2,3,3,2
1734530730,0,2,2,3,3,2
2015108055,1,2,2,3,3,2
2318910945,0,2,2,3,3,2
6105713761,0,2,2,3,3,2
1982753487,1,2,2,3,3,2
6124642021,0,2,2,1,3,3
7308140398,0,2,2,1,3,3
1644114654,0,2,2,3,3,3
1672519561,0,2,2,3,3,3
1699432410,0,2,2,3,3,3
1711530911,0,2,2,3,3,3
1828887503,0,2,2,3,3,3
1887344341,0,2,2,3,3,3
1887790981,0,2,2,3,3,3
1895431523,0,2,2,3,3,3
2615417307,0,2,2,3,3,3
5993531560,0,2,2,3,3,3
7360594450,0,2,2,3,3,3
7373111326,0,2,2,3,3,3
1618051664,0,2,2,3,3,3
1700648435,0,2,2,3,3,3
1834783273,0,2,2,3,3,3
2286908003,0,2,2,3,3,3
3937348351,1,2,2,3,3,3
2810373291,0,2,2,3,3,3
3167104922,0,2,2,3,3,3
5044281310,0,2,2,3,3,3
1682207150,0,2,2,3,3,3
2656274875,0,2,2,3,3,3
2803301701,0,2,2,3,3,3
3266943013,0,2,2,3,3,3
6189120710,0,2,2,3,3,3
1064646454,1,1,0,0,1,0
1092945427,0,1,0,0,1,0
1252614317,1,1,0,0,1,0
1709467465,1,1,0,0,1,0
1729399083,1,1,0,0,1,0
1747109160,0,1,0,0,1,0
1798361341,1,1,0,0,1,0
1815737215,0,1,0,0,1,0
1858365182,0,1,0,0,1,0
1883184762,0,1,0,0,1,0
1913308843,1,1,0,0,1,0
1913935211,1,1,0,0,1,0
1924437171,0,1,0,0,1,0
1924853635,1,1,0,0,1,0
1926811743,0,1,0,0,1,0
1961097701,0,1,0,0,1,0
1980734371,1,1,0,0,1,0
1981819331,0,1,0,0,1,0
1989723775,0,1,0,0,1,0
1990198375,1,1,0,0,1,0
2024896451,0,1,0,0,1,0
2029505005,1,1,0,0,1,0
2049018647,0,1,0,0,1,0
2088662305,1,1,0,0,1,0
2099214172,1,1,0,0,1,0
2105042530,0,1,0,0,1,0
2113480734,1,1,0,0,1,0
2144066964,1,1,0,0,1,0
2182881135,1,1,0,0,1,0
2249520950,1,1,0,0,1,0
2253688924,0,1,0,0,1,0
2318629240,1,1,0,0,1,0
2337985010,0,1,0,0,1,0
2379979684,1,1,0,0,1,0
2388122400,1,1,0,0,1,0
2401556345,1,1,0,0,1,0
2452488395,1,1,0,0,1,0
2456931455,1,1,0,0,1,0
2472148755,1,1,0,0,1,0
2475613010,0,1,0,0,1,0
2490707052,1,1,0,0,1,0
2506214623,1,1,0,0,1,0
