user_id,user_verified_type,weibo_type,fans_type,repost_type,like_type,comment_type,weibo_granger,fan_granger,repost_granger,like_granger,comment_granger
2803301701,1,2,2,3,3,3,0,1,0,0,1
1275747621,1,0,0,0,1,0,1,1,1,3,1
1324343335,1,0,0,0,1,0,1,1,1,3,1
1403147265,1,0,0,0,1,0,1,1,1,3,1
1566188461,1,0,0,0,1,0,1,1,1,3,1
1641145823,1,0,0,0,1,0,1,1,1,3,1
1659791311,1,0,0,0,1,0,1,1,1,3,1
1727572291,1,0,0,0,1,0,1,1,1,3,1
1753234175,1,0,0,0,1,0,1,1,1,3,1
1764220904,1,0,0,0,1,0,1,1,1,3,1
1777317934,1,0,0,0,1,0,1,1,1,3,1
1840080763,1,0,0,0,1,0,1,1,1,3,1
1883240380,1,0,0,0,1,0,1,1,1,3,1
1886315393,1,0,0,0,1,0,1,1,1,3,1
1889750024,1,0,0,0,1,0,1,1,1,3,1
1907083277,1,0,0,0,1,0,1,1,1,3,1
1929953497,1,0,0,0,1,0,1,1,1,3,1
1960929313,1,0,0,0,1,0,1,1,1,3,1
2013300081,1,0,0,0,1,0,1,1,1,3,1
2035413034,1,0,0,0,1,0,1,1,1,3,1
2097297631,1,0,0,0,1,0,1,1,1,3,1
2121889774,1,0,0,0,1,0,1,1,1,3,1
2280723025,1,0,0,0,1,0,1,1,1,3,1
2294220693,1,0,0,0,1,0,1,1,1,3,1
2316271560,1,0,0,0,1,0,1,1,1,3,1
2355441347,1,0,0,0,1,0,1,1,1,3,1
2415608027,1,0,0,0,1,0,1,1,1,3,1
2574043673,1,0,0,0,1,0,1,1,1,3,1
2593685892,1,0,0,0,1,0,1,1,1,3,1
2614434247,1,0,0,0,1,0,1,1,1,3,1
2631050210,1,0,0,0,1,0,1,1,1,3,1
2796112331,1,0,0,0,1,0,1,1,1,3,1
2826319254,1,0,0,0,1,0,1,1,1,3,1
2972578845,1,0,0,0,1,0,1,1,1,3,1
3143022404,1,0,0,0,1,0,1,1,1,3,1
3211064304,1,0,0,0,1,0,1,1,1,3,1
3215082647,1,0,0,0,1,0,1,1,1,3,1
3422616782,1,0,0,0,1,0,1,1,1,3,1
3484305123,1,0,0,0,1,0,1,1,1,3,1
3516620660,1,0,0,0,1,0,1,1,1,3,1
3543268681,1,0,0,0,1,0,1,1,1,3,1
3841013199,1,0,0,0,1,0,1,1,1,3,1
3854515992,1,0,0,0,1,0,1,1,1,3,1
5286142904,1,0,0,0,1,0,1,1,1,3,1
5289488345,1,0,0,0,1,0,1,1,1,3,1
5334301121,1,0,0,0,1,0,1,1,1,3,1
5696766151,1,0,0,0,1,0,1,1,1,3,1
5702431721,1,0,0,0,1,0,1,1,1,3,1
5743120946,1,0,0,0,1,0,1,1,1,3,1
5867666477,1,0,0,0,1,0,1,1,1,3,1
5883755378,1,0,0,0,1,0,1,1,1,3,1
6011309186,1,0,0,0,1,0,1,1,1,3,1
6082395308,1,0,0,0,1,0,1,1,1,3,1
6192604651,1,0,0,0,1,0,1,1,1,3,1
6457605594,1,0,0,0,1,0,1,1,1,3,1
6505535617,1,0,0,0,1,0,1,1,1,3,1
6513177902,1,0,0,0,1,0,1,1,1,3,1
6608580162,1,0,0,0,1,0,1,1,1,3,1
6615148662,1,0,0,0,1,0,1,1,1,3,1
7049157766,1,0,0,0,1,0,1,1,1,3,1
7052930202,1,0,0,0,1,0,1,1,1,3,1
7310744124,1,0,0,0,1,0,1,1,1,3,1
7555427911,1,0,0,0,1,0,1,1,1,3,1
7576258004,1,0,0,0,1,0,1,1,1,3,1
7576655968,1,0,0,0,1,0,1,1,1,3,1
7596378100,1,0,0,0,1,0,1,1,1,3,1
7598817749,1,0,0,0,1,0,1,1,1,3,1
7614822529,1,0,0,0,1,0,1,1,1,3,1
7621200229,1,0,0,0,1,0,1,1,1,3,1
1216388575,1,0,1,0,1,0,1,1,1,3,1
1636678683,1,0,1,0,1,0,1,1,1,3,1
1752180247,1,0,1,0,1,0,1,1,1,3,1
1774114510,1,0,1,0,1,0,1,1,1,3,1
1823184085,1,0,1,0,1,0,1,1,1,3,1
1829407315,1,0,1,0,1,0,1,1,1,3,1
1899621707,1,0,1,0,1,0,1,1,1,3,1
1918939581,1,0,1,0,1,0,1,1,1,3,1
1941807832,1,0,1,0,1,0,1,1,1,3,1
1958132051,1,0,1,0,1,0,1,1,1,3,1
2086994143,1,0,1,0,1,0,1,1,1,3,1
2419556981,1,0,1,0,1,0,1,1,1,3,1
2515652420,1,0,1,0,1,0,1,1,1,3,1
2696344613,1,0,1,0,1,0,1,1,1,3,1
2813313591,1,0,1,0,1,0,1,1,1,3,1
2831771102,1,0,1,0,1,0,1,1,1,3,1
3280632060,1,0,1,0,1,0,1,1,1,3,1
3469830734,1,0,1,0,1,0,1,1,1,3,1
3564009853,1,0,1,0,1,0,1,1,1,3,1
5300969049,1,0,1,0,1,0,1,1,1,3,1
5307552992,1,0,1,0,1,0,1,1,1,3,1
5712620962,1,0,1,0,1,0,1,1,1,3,1
6617689233,1,0,1,0,1,0,1,1,1,3,1
6697721130,1,0,1,0,1,0,1,1,1,3,1
7310345737,1,0,1,0,1,0,1,1,1,3,1
7354234663,1,0,1,0,1,0,1,1,1,3,1
1398613133,1,0,2,0,1,0,1,1,1,3,1
1647210043,1,0,2,0,1,0,1,1,1,3,1
1663073073,1,0,2,0,1,0,1,1,1,3,1
1668216997,1,0,2,0,1,0,1,1,1,3,1
1704819467,1,0,2,0,1,0,1,1,1,3,1
1718259005,1,0,2,0,1,0,1,1,1,3,1
1727386613,1,0,2,0,1,0,1,1,1,3,1
1733592447,1,0,2,0,1,0,1,1,1,3,1
1764404507,1,0,2,0,1,0,1,1,1,3,1
1772293130,1,0,2,0,1,0,1,1,1,3,1
1791298665,1,0,2,0,1,0,1,1,1,3,1
1798653494,1,0,2,0,1,0,1,1,1,3,1
1899227237,1,0,2,0,1,0,1,1,1,3,1
1906385094,1,0,2,0,1,0,1,1,1,3,1
1962117985,1,0,2,0,1,0,1,1,1,3,1
2002474925,1,0,2,0,1,0,1,1,1,3,1
2012816014,1,0,2,0,1,0,1,1,1,3,1
2042019413,1,0,2,0,1,0,1,1,1,3,1
2195600811,1,0,2,0,1,0,1,1,1,3,1
2311077472,1,0,2,0,1,0,1,1,1,3,1
2346031615,1,0,2,0,1,0,1,1,1,3,1
2540184984,1,0,2,0,1,0,1,1,1,3,1
2634384567,1,0,2,0,1,0,1,1,1,3,1
3213983693,1,0,2,0,1,0,1,1,1,3,1
3215153127,1,0,2,0,1,0,1,1,1,3,1
5907970062,1,0,2,0,1,0,1,1,1,3,1
6536846182,1,0,2,0,1,0,1,1,1,3,1
7302431001,1,0,2,0,1,0,1,1,1,3,1
1092945427,1,1,0,0,1,0,1,1,1,3,1
1747109160,1,1,0,0,1,0,1,1,1,3,1
1815737215,1,1,0,0,1,0,1,1,1,3,1
1858365182,1,1,0,0,1,0,1,1,1,3,1
1883184762,1,1,0,0,1,0,1,1,1,3,1
1924437171,1,1,0,0,1,0,1,1,1,3,1
1926811743,1,1,0,0,1,0,1,1,1,3,1
1961097701,1,1,0,0,1,0,1,1,1,3,1
1981819331,1,1,0,0,1,0,1,1,1,3,1
1989723775,1,1,0,0,1,0,1,1,1,3,1
2024896451,1,1,0,0,1,0,1,1,1,3,1
2049018647,1,1,0,0,1,0,1,1,1,3,1
2105042530,1,1,0,0,1,0,1,1,1,3,1
2253688924,1,1,0,0,1,0,1,1,1,3,1
2337985010,1,1,0,0,1,0,1,1,1,3,1
2475613010,1,1,0,0,1,0,1,1,1,3,1
2588693210,1,1,0,0,1,0,1,1,1,3,1
2758910782,1,1,0,0,1,0,1,1,1,3,1
3095407667,1,1,0,0,1,0,1,1,1,3,1
3198187532,1,1,0,0,1,0,1,1,1,3,1
3199150960,1,1,0,0,1,0,1,1,1,3,1
3305819203,1,1,0,0,1,0,1,1,1,3,1
3439488490,1,1,0,0,1,0,1,1,1,3,1
3446441450,1,1,0,0,1,0,1,1,1,3,1
3483578150,1,1,0,0,1,0,1,1,1,3,1
3555027410,1,1,0,0,1,0,1,1,1,3,1
3649062440,1,1,0,0,1,0,1,1,1,3,1
3815062128,1,1,0,0,1,0,1,1,1,3,1
5061229888,1,1,0,0,1,0,1,1,1,3,1
5110439722,1,1,0,0,1,0,1,1,1,3,1
5116298586,1,1,0,0,1,0,1,1,1,3,1
5227599721,1,1,0,0,1,0,1,1,1,3,1
5281187541,1,1,0,0,1,0,1,1,1,3,1
5456052217,1,1,0,0,1,0,1,1,1,3,1
5519731545,1,1,0,0,1,0,1,1,1,3,1
5597884738,1,1,0,0,1,0,1,1,1,3,1
5744314271,1,1,0,0,1,0,1,1,1,3,1
6077989896,1,1,0,0,1,0,1,1,1,3,1
6085694600,1,1,0,0,1,0,1,1,1,3,1
6560653260,1,1,0,0,1,0,1,1,1,3,1
7093268990,1,1,0,0,1,0,1,1,1,3,1
7270761810,1,1,0,0,1,0,1,1,1,3,1
7298319279,1,1,0,0,1,0,1,1,1,3,1
7300690586,1,1,0,0,1,0,1,1,1,3,1
7337509043,1,1,0,0,1,0,1,1,1,3,1
7365943043,1,1,0,0,1,0,1,1,1,3,1
7497875024,1,1,0,0,1,0,1,1,1,3,1
7498826933,1,1,0,0,1,0,1,1,1,3,1
7513635555,1,1,0,0,1,0,1,1,1,3,1
7562283887,1,1,0,0,1,0,1,1,1,3,1
1354662744,1,1,1,0,1,0,1,1,1,3,1
1611935011,1,1,1,0,1,0,1,1,1,3,1
1684790931,1,1,1,0,1,0,1,1,1,3,1
